date,gdp,retail_sales,wage_growth
31/01/2005,0.876095119,1.244167963,1.608579088
28/02/2005,0,-0.614439324,-2.110817942
31/03/2005,-0.372208437,-0.154559505,1.347708895
30/04/2005,1.245330012,0,0.79787234
31/05/2005,-0.36900369,-0.619195046,0.263852243
30/06/2005,0.617283951,0.778816199,0
31/07/2005,0.36809816,0.154559505,0.789473684
31/08/2005,0,-0.462962963,0.783289817
30/09/2005,0.611246944,0.310077519,0.259067358
31/10/2005,-0.364520049,0.618238022,0.258397933
30/11/2005,1.097560976,0.614439324,0.515463918
31/12/2005,0.844390832,-0.152671756,0
31/01/2006,-0.358851675,-0.305810398,0.256410256
28/02/2006,-0.240096038,0,0.255754476
31/03/2006,0.481347774,0.613496933,1.530612245
30/04/2006,-0.239520958,-0.457317073,-0.753768844
31/05/2006,0.360144058,1.071975498,0.506329114
30/06/2006,0.358851675,0.757575758,1.007556675
31/07/2006,-0.595947557,0.15037594,0
31/08/2006,0.35971223,0.3003003,0
30/09/2006,0.477897252,-0.449101796,0.249376559
31/10/2006,-0.475624257,0.902255639,0.746268657
30/11/2006,0.477897252,0.298062593,0.49382716
31/12/2006,0.713436385,1.188707281,1.228501229
31/01/2007,0,-1.321585903,0.72815534
28/02/2007,0.354191263,1.339285714,0.963855422
31/03/2007,0.352941176,1.174743025,-0.477326969
30/04/2007,0.117233294,0,-1.199040767
31/05/2007,0.468384075,-0.290275762,0.970873786
30/06/2007,0.116550117,0.291120815,0.480769231
31/07/2007,0,-0.290275762,0.4784689
31/08/2007,0.582072177,0.436681223,0.476190476
30/09/2007,0.115740741,0.579710145,0.473933649
31/10/2007,-0.346820809,-0.144092219,-0.235849057
30/11/2007,0.580046404,0.432900433,0.709219858
31/12/2007,0.461361015,0.287356322,0
31/01/2008,0.114810563,0.573065903,0.704225352
29/02/2008,0.458715596,1.851851852,1.398601399
31/03/2008,-0.684931507,-1.538461538,0.459770115
30/04/2008,0.574712644,0.142045455,-1.14416476
31/05/2008,-0.914285714,3.546099291,0.462962963
30/06/2008,-0.115340254,-2.739726027,-0.230414747
31/07/2008,-0.577367206,0.281690141,0.230946882
31/08/2008,-0.348432056,0,0.230414747
30/09/2008,-1.165501166,0.561797753,0
31/10/2008,-0.235849057,-0.977653631,0.459770115
30/11/2008,-1.418439716,0.282087447,-0.228832952
31/12/2008,-0.239808153,-0.843881857,0
31/01/2009,-0.961538462,0.992907801,-3.440366972
28/02/2009,-0.121359223,-0.842696629,-2.850356295
31/03/2009,-0.972053463,1.274787535,5.86797066
